,NAME,S1901_C04_012E
214,ZCTA5 01226,50801
215,ZCTA5 01229,-
216,ZCTA5 01230,34776
217,ZCTA5 01235,39107
218,ZCTA5 01236,-
219,ZCTA5 01237,39744
220,ZCTA5 01238,48324
221,ZCTA5 01240,40176
222,ZCTA5 01242,-
223,ZCTA5 01243,74219
224,ZCTA5 01244,-
225,ZCTA5 01245,36250
226,ZCTA5 01247,34180
227,ZCTA5 01253,81625
228,ZCTA5 01254,39063
229,ZCTA5 01255,58125
230,ZCTA5 01256,35547
231,ZCTA5 01257,36761
232,ZCTA5 01258,91250
233,ZCTA5 01259,64167
234,ZCTA5 01260,-
235,ZCTA5 01262,24583
236,ZCTA5 01264,23250
237,ZCTA5 01266,26250
238,ZCTA5 01267,34473
239,ZCTA5 01270,46146
240,ZCTA5 01301,34485
241,ZCTA5 01330,41667
242,ZCTA5 01331,30766
243,ZCTA5 01337,37917
244,ZCTA5 01338,-
245,ZCTA5 01339,41139
246,ZCTA5 01340,46513
247,ZCTA5 01341,56442
248,ZCTA5 01342,-
249,ZCTA5 01343,73889
250,ZCTA5 01344,31389
251,ZCTA5 01346,98597
252,ZCTA5 01347,61528
253,ZCTA5 01349,63276
254,ZCTA5 01350,-
255,ZCTA5 01351,42461
256,ZCTA5 01354,46827
257,ZCTA5 01355,64688
258,ZCTA5 01360,42723
259,ZCTA5 01364,29095
260,ZCTA5 01366,47083
261,ZCTA5 01367,55625
262,ZCTA5 01368,38929
263,ZCTA5 01370,41938
264,ZCTA5 01373,59405
265,ZCTA5 01375,38359
266,ZCTA5 01376,28042
267,ZCTA5 01378,38438
268,ZCTA5 01379,28250
269,ZCTA5 01380,-
270,ZCTA5 01420,45600
271,ZCTA5 01430,61061
272,ZCTA5 01431,68750
273,ZCTA5 01432,55987
274,ZCTA5 01434,-
275,ZCTA5 01436,40446
276,ZCTA5 01438,-
277,ZCTA5 01440,36894
278,ZCTA5 01450,47216
279,ZCTA5 01451,44050
280,ZCTA5 01452,53587
281,ZCTA5 01453,47696
282,ZCTA5 01460,55778
283,ZCTA5 01462,56615
284,ZCTA5 01463,57305
285,ZCTA5 01464,64799
286,ZCTA5 01468,72589
287,ZCTA5 01469,54313
288,ZCTA5 01473,66000
289,ZCTA5 01474,88523
290,ZCTA5 01475,36009
291,ZCTA5 01501,48354
292,ZCTA5 01503,43919
293,ZCTA5 01504,40742
294,ZCTA5 01505,50588
295,ZCTA5 01506,35417
296,ZCTA5 01507,60655
297,ZCTA5 01510,63927
298,ZCTA5 01515,62679
299,ZCTA5 01516,74816
300,ZCTA5 01518,35446
301,ZCTA5 01519,60849
302,ZCTA5 01520,66964
303,ZCTA5 01521,70536
304,ZCTA5 01522,66406
305,ZCTA5 01523,68264
306,ZCTA5 01524,42088
307,ZCTA5 01525,-
308,ZCTA5 01527,37128
309,ZCTA5 01529,46250
310,ZCTA5 01531,64659
311,ZCTA5 01532,57625
312,ZCTA5 01534,61719
313,ZCTA5 01535,53870
314,ZCTA5 01536,47540
315,ZCTA5 01537,52692
316,ZCTA5 01540,45625
317,ZCTA5 01541,120694
318,ZCTA5 01542,41992
319,ZCTA5 01543,59833
320,ZCTA5 01545,55929
321,ZCTA5 01550,31911
322,ZCTA5 01560,61667
323,ZCTA5 01561,-
324,ZCTA5 01562,37618
325,ZCTA5 01564,79191
326,ZCTA5 01566,44781
327,ZCTA5 01568,56960
328,ZCTA5 01569,66985
329,ZCTA5 01570,34400
330,ZCTA5 01571,30837
