START DATE(UTC), END DATE(UTC), START TIME(LOCAL), END TIME(LOCAL), DURATION, NAME, LOCATION, NOTE
2/7/20 10:29, 2020-02-07 18:30:06, 2020-02-07 02:29:30 PST, 2020-02-07 10:30:06 PST,28836, Sleep, , 
2/7/20 20:59, 2020-02-07 21:03:33, 2020-02-07 12:59:37 PST, 2020-02-07 13:03:33 PST,236, Commute to work, , 
2/7/20 20:59, 2020-02-07 21:02:32, 2020-02-07 12:59:38 PST, 2020-02-07 13:02:32 PST,174, Transport, , 
2/7/20 21:03, 2020-02-07 22:28:09, 2020-02-07 13:03:33 PST, 2020-02-07 14:28:09 PST,5076, School, , 
2/7/20 22:28, 2020-02-07 22:31:24, 2020-02-07 14:28:08 PST, 2020-02-07 14:31:24 PST,196, Commute to home, , 
2/7/20 22:28, 2020-02-07 22:31:23, 2020-02-07 14:28:09 PST, 2020-02-07 14:31:23 PST,194, Walk, , 
2/7/20 22:31, 2020-02-08 00:58:04, 2020-02-07 14:31:24 PST, 2020-02-07 16:58:04 PST,8800, Home, , 
2/8/20 0:58, 2020-02-08 01:12:15, 2020-02-07 16:58:04 PST, 2020-02-07 17:12:15 PST,851, Transport, , 
2/8/20 1:12, 2020-02-08 01:25:57, 2020-02-07 17:12:15 PST, 2020-02-07 17:25:57 PST,822, Groceries, Trader Joe's, 
2/8/20 1:25, 2020-02-08 01:30:27, 2020-02-07 17:25:57 PST, 2020-02-07 17:30:27 PST,270, Transport, , 
2/8/20 1:30, 2020-02-08 01:48:15, 2020-02-07 17:30:27 PST, 2020-02-07 17:48:15 PST,1068, Groceries, Costco, 
2/8/20 1:49, 2020-02-08 02:02:48, 2020-02-07 17:49:08 PST, 2020-02-07 18:02:48 PST,820, Transport, , 
2/8/20 2:02, 2020-02-08 03:10:27, 2020-02-07 18:02:48 PST, 2020-02-07 19:10:27 PST,4059, Home, , 
2/8/20 3:10, 2020-02-08 03:13:50, 2020-02-07 19:10:27 PST, 2020-02-07 19:13:50 PST,203, Walk, , 
2/8/20 3:13, 2020-02-08 03:47:30, 2020-02-07 19:13:51 PST, 2020-02-07 19:47:30 PST,2019, Fun, , 
2/8/20 3:47, 2020-02-08 04:00:09, 2020-02-07 19:47:31 PST, 2020-02-07 20:00:09 PST,758, Home, , 
2/8/20 4:00, 2020-02-08 04:02:43, 2020-02-07 20:00:09 PST, 2020-02-07 20:02:43 PST,154, Transport, , 
2/8/20 4:02, 2020-02-08 07:24:40, 2020-02-07 20:02:43 PST, 2020-02-07 23:24:40 PST,12117, Studying, Robert E. Kennedy Library- 24/7 Study Room, 
2/8/20 7:25, 2020-02-08 07:28:06, 2020-02-07 23:25:28 PST, 2020-02-07 23:28:06 PST,158, Transport, , 
2/8/20 7:28, 2020-02-08 08:15:06, 2020-02-07 23:28:06 PST, 2020-02-08 00:15:06 PST,2820, Run, Cal Poly Recreation Center, 
2/8/20 7:56, 2020-02-08 08:10:33, 2020-02-07 23:56:56 PST, 2020-02-08 00:10:33 PST,817, Run, , 
2/8/20 8:15, 2020-02-08 08:21:37, 2020-02-08 00:15:06 PST, 2020-02-08 00:21:37 PST,391, Transport, , 
2/8/20 8:21, 2020-02-08 20:10:07, 2020-02-08 00:21:37 PST, 2020-02-08 12:10:07 PST,42510, Home, , 
2/8/20 11:01, 2020-02-08 18:30:08, 2020-02-08 03:01:30 PST, 2020-02-08 10:30:08 PST,26918, Sleep, , 
2/8/20 20:10, 2020-02-08 20:16:02, 2020-02-08 12:10:07 PST, 2020-02-08 12:16:02 PST,355, Transport, , 
