NAME,S1901_C04_012E
02542,56875
02543,60927
02554,54250
02556,73095
02557,52419
02558,35339
02559,34756
02561,53279
02562,58029
02563,60990
02568,50476
02571,57031
02575,68750
02576,42781
02601,34390
02630,65188
02631,36012
02632,58811
02633,55278
02635,53661
02638,79079
02639,34792
02642,44423
02644,33701
02645,49098
02646,40750
02648,83162
02649,43500
02650,49053
02652,83145
02653,43542
02655,72739
02657,60938
02659,53077
02660,38676
02663,54081
02664,32266
02667,57713
02668,95236
02670,40078
02671,50737
02673,41891
02675,49643
02702,83327
02703,39423
02715,33832
02717,47750
02718,53021
02719,39701
02720,39217
02721,23114
02723,27446
02724,29583
02725,85135
02726,50446
02738,83375
02739,57015
02740,28552
02743,41713
02744,35942
02745,40440
02746,25359
02747,37993
02748,38846
02760,46410
02762,58529
02763,57801
02764,57109
02766,68063
02767,36793
02769,51342
02770,84913
02771,50464
02777,41518
02779,88272
02780,40064
02790,53188
02804,112432
02806,49176
02807,61761
02808,22190
02809,47037
02813,48056
02814,49306
02816,47152
02817,100833
02818,57582
02822,31917
02825,56429
02827,60074
02828,45646
02831,115033
02832,49063
02833,18508
02835,32303
02837,58023
02838,46400
02839,41658
02840,54074
02842,56791
02852,52476
02857,59023
02858,96389
02859,53466
02860,31605
02861,45335
02863,22871
02864,36997
02865,55023
02871,45609
02874,76667
02875,78835
02876,26944
02878,48006
02879,53281
02881,49688
02882,34583
02885,34260
02886,43636
02888,43434
02889,40296
02891,47831
02892,52352
02893,42462
02894,70813
02895,28660
02896,35571
02898,46029
02903,39136
02904,35659
02905,18984
02906,63077
02907,26943
02908,47531
02909,35223
02910,48988
02911,54677
02914,28032
02915,37759
02916,50132
02917,30321
02919,44983
02920,35913
02921,60455
03031,77050
03032,95795
03033,71944
03034,47326
03036,82689
03037,60000
03038,50546
03042,54519
03043,73750
03044,75972
03045,54050
03046,50833
03047,43958
03048,39706
03049,64577
03051,59952
03052,68750
03053,56742
03054,67424
03055,41968
03057,81250
03060,38799
03062,59728
03063,67043
03064,42615
03070,78012
03071,56740
03076,50875
03077,57275
03079,46870
03082,57813
03084,47259
03086,44706
03087,68681
03101,44464
03102,41190
03103,52246
03104,51640
03106,49366
03109,58917
03110,56924
03215,59167
03216,48466
03217,32500
03218,33106
03220,33947
03221,42569
03222,37404
03223,43633
03224,62841
03225,52830
03226,58750
03227,166714
03229,54375
03230,38654
03234,47321
03235,31583
03237,72813
03238,38550
03240,39531
03241,53125
03242,31080
03243,50000
03244,46420
03245,46250
03246,40303
03249,46875
03251,30833
03253,29799
03254,68750
03255,54375
03256,52917
03257,31522
03259,71829
03260,70208
03261,40909
03262,48625
03263,31923
03264,39408
03266,35893
03268,43750
03275,38344
03276,42462
03278,27875
03279,37054
03280,39844
03281,44932
03282,54250
03284,34063
03285,62552
03287,48021
03290,61571
03301,40635
03303,47702
03304,68558
03307,33977
03431,37530
03440,53958
03441,33906
03442,49940
03443,38603
03444,46417
03445,45417
03446,35357
03447,47656
03448,45417
03449,49167
03450,57679
03451,54904
03452,49250
03455,34044
03456,41875
03457,72708
03458,62684
03461,51083
03462,33984
03464,35000
03465,28125
03467,32292
03470,43415
03561,36526
03570,22432
03574,28971
03576,36610
03579,28750
03580,44318
03581,40870
03582,30313
03583,57593
03584,44100
03585,40476
03586,42708
03588,44844
03590,25682
03592,35938
03593,56719
03595,46288
03597,21458
03598,35833
03601,36719
03602,28750
03603,26136
03605,38500
03607,51250
03608,32857
03740,33438
03741,48750
03743,34125
03745,63947
03748,61653
03752,37500
03753,90203
03755,58906
03766,65549
03768,68958
03771,25000
03773,47946
03774,26193
03777,64167
03779,39688
03780,78660
03781,61333
03782,67667
03784,31667
03785,28750
03801,66992
03809,31731
03811,58295
03812,35721
03813,29900
03814,17326
03816,41719
03817,11500
03818,22256
03819,42988
03820,52990
03823,83068
03824,35191
03825,39131
03826,46339
03827,49375
03830,44005
03832,49792
03833,51756
03835,40172
03836,58750
03837,64821
03838,88447
03839,62031
03840,69115
03841,75323
03842,59453
03844,69000
03845,48993
03848,30245
03849,50625
03850,27734
03851,47361
03854,77188
03855,66750
03856,83250
03857,65322
03858,121528
03860,34423
03861,59000
03862,59387
03864,23409
03865,64626
03867,34415
03868,30880
03869,44250
03870,78355
03872,74783
03873,59432
03874,34702
03875,56563
03878,44905
03882,39583
03884,56840
03885,52625
03887,43967
03894,32399
03901,45793
03902,38750
03903,54583
03904,36112
03905,74632
03906,38750
03907,56625
03908,53459
03909,51351
04001,40069
04002,39071
04005,43793
04008,36083
04009,44850
04010,31667
04011,43495
04015,22416
04017,26429
04019,97969
04020,41250
04021,64877
04022,40417
04024,52750
04027,47391
04029,33889
04032,37057
04037,26548
04038,44290
04039,42823
04040,27974
04041,41667
04042,51346
04043,43675
04046,49239
04048,33935
04049,46940
04050,30938
04051,31688
04055,34533
04061,73309
04062,51800
04063,25395
04064,35349
04068,35250
04069,57143
04071,63783
04072,49776
04073,34217
04074,56688
04076,63523
04079,55526
04083,55244
04084,42656
04085,69432
04086,47212
04087,79028
04088,35795
04090,32121
04091,30417
04092,52308
04093,39020
04095,23750
04096,50368
04097,56310
04101,45394
04102,47198
04103,49375
04105,51528
04106,51316
04107,48718
04108,42396
04110,51033
04210,35505
04216,21786
04217,37532
04219,24554
04220,54375
04221,26250
04222,50278
04224,31151
04231,18571
04236,25978
04238,47222
04239,45962
04240,27093
04250,38041
04252,43952
04253,51250
04254,23621
04255,26250
04257,20000
04258,52984
04259,22229
04260,52432
04261,14557
04263,53125
04268,28200
04270,35682
04274,49306
04276,29300
04280,40125
04281,28333
04282,32171
04284,35341
04285,32500
04287,44792
04289,14943
04290,37656
04292,34444
04294,24703
04330,32515
04342,28977
04344,39641
04345,30956
04346,30682
04347,40585
04348,46136
04349,27330
04350,34175
04351,41453
04352,42935
04353,36250
04354,35729
04355,73075
04357,31614
04358,74531
04359,33708
04360,30625
04363,46458
04364,38200
04401,33403
04406,26000
04408,43000
04410,40417
04411,31071
04412,32662
04414,19565
04415,26146
04416,30693
04417,30174
04418,21875
04419,39583
04422,36058
04424,26250
04426,18150
04427,28226
04428,40170
04429,45699
04430,23226
04434,52813
04435,41250
04438,57500
04441,26189
04443,19688
04444,38738
04448,21875
04449,34718
04450,37153
04451,25435
04453,22273
04455,18393
04456,44474
04457,20089
04459,25625
04460,23906
04461,25172
04462,25718
04463,48750
04464,20875
04468,30959
04471,20417
04472,32232
04473,34511
04474,26454
04475,18750
04476,31667
04479,27321
04481,25000
04485,38500
04487,18214
04488,40833
04489,20489
04490,36250
04491,26042
04492,21250
04493,31250
04495,31724
04496,29792
04497,20556
04530,41680
04535,39107
04537,38250
04538,33929
04539,56389
04543,31613
04547,50208
04548,39643
04553,27472
04554,62632
04555,33162
04556,42941
04562,44250
04563,43125
04564,30463
04568,46272
04571,49099
04572,25979
04573,80357
04576,33661
04578,42847
04579,61875
04605,37785
04606,27431
04607,30809
04609,29120
04611,43750
04612,70250
04614,46849
04616,32870
04617,43583
04619,21742
04622,17500
04623,30000
04625,48036
04626,16800
04627,33750
04628,25625
04630,40333
04631,17417
04634,32148
04635,86250
04640,43431
04642,38929
04643,55909
04646,54000
04648,35750
04649,28208
04652,21250
04653,19769
04654,14675
04655,30625
04657,41875
04658,21923
04660,65909
04662,43125
04664,41111
04666,26250
04667,41964
04668,18750
04671,23750
04673,18438
04677,56250
04679,23958
04680,22875
04681,43269
04684,40227
04685,52857
04686,31250
04691,30417
04693,36250
04694,30089
04730,22989
04732,27614
04733,30658
04735,20250
04736,30928
04739,19323
04740,19079
04742,20174
04743,41154
04745,28250
04746,22250
04747,21250
04756,17135
04757,24083
04758,32422
04760,30952
04761,25833
04762,31250
04763,27813
04764,25938
04765,21607
04766,34063
04768,36667
04769,30978
04772,26250
04774,23370
04776,38417
04777,25000
04783,35357
04785,16818
04786,17647
04787,22500
04841,33543
04843,49306
04847,54286
04849,43010
04852,33750
04853,66250
04854,39868
04856,42888
04858,44750
04859,44375
04860,28550
04861,49737
04862,23561
04863,46563
04901,28122
04910,39883
04911,29813
04912,19375
04915,27912
04917,54063
04920,25357
04921,33214
04922,21397
04923,26250
04924,23944
04927,25774
04928,26951
04929,17955
04930,22456
04932,41313
04937,25684
04938,28723
04939,19130
04941,44265
04942,23125
04943,24965
04945,20987
04947,30962
04949,30000
04950,20269
04951,70243
04952,33750
04953,22313
04955,28266
04956,21875
04957,22100
04958,27321
04961,34750
04963,35369
04964,37857
04965,26719
04966,30027
04967,14954
04969,37619
04970,41607
04971,22794
04973,33125
04976,29944
04978,47321
04979,35208
04981,35536
04983,27083
04984,36250
04986,27500
04987,26389
04988,23586
04989,46750
05001,31359
05032,55917
05033,43833
05035,21298
05036,34875
05037,73250
05038,37353
05039,27000
05040,99358
05041,110815
05042,33021
05043,66216
05045,53179
05046,25000
05048,51750
05051,32917
05052,66167
05053,26484
05055,39500
05056,24821
05060,42314
05061,66048
05062,19145
05065,37250
05068,46389
05069,44583
05070,73611
05072,38438
05075,56350
05076,30938
05077,48403
05079,60573
05081,19583
05088,64952
05089,33969
05091,44868
05101,41949
05141,12222
05142,29934
05143,19441
05146,44028
05148,45242
05149,37708
05150,50125
05151,59911
05153,38417
05154,30750
05155,54018
05156,26197
05161,61563
05201,35316
05250,45000
05251,36414
05252,81389
05253,13516
05254,105329
05255,42886
05257,32700
05261,34167
05262,43661
05301,32048
05340,39375
05341,26250
05342,23382
05343,53385
05345,47202
05346,47500
05350,39375
05351,18011
05353,39250
05354,52500
05355,46875
05356,41780
05358,31625
05359,35455
05360,43816
05361,30694
05362,51250
05363,29460
05401,41430
05403,55167
05404,50073
05408,41636
05440,28068
05441,77188
05442,48750
05443,45114
05444,48625
05446,49293
05447,45481
05448,32083
05450,31100
05452,53190
05454,44668
05455,26875
05456,60078
05457,63385
05458,50917
05459,40769
05461,66761
05462,45000
05464,56667
05465,76250
05468,46394
05471,26047
05472,48750
05473,65417
05474,44267
05476,19617
05477,63000
05478,40533
05482,56136
05483,60443
05486,40357
05487,38472
05488,45327
05489,65379
05491,44250
05492,37813
05494,63000
05495,52759
05602,55516
05641,33824
05647,31750
05648,75625
05650,51719
05651,34286
05652,39444
05654,31496
05655,50278
05656,25278
05658,28125
05660,57656
05661,38381
05663,50476
05667,38434
05669,64286
05672,55226
05673,32247
05675,45795
05676,45861
05677,67581
05679,40333
05680,36563
05681,78333
05682,38938
05701,35000
05730,37955
05733,31400
05734,42955
05735,30842
05737,57875
05738,54583
05739,25417
05742,27250
05743,38295
05748,63224
05751,43839
05753,44321
05757,31429
05758,40556
05759,32448
05760,42708
05761,32273
05762,43000
05763,34884
05764,36827
05765,49231
05766,74375
05767,59000
05769,39271
05770,43125
05772,44375
05773,33958
05774,37656
05775,28083
05776,31250
05777,32566
05819,31959
05820,16111
05821,41354
05822,29191
05824,31439
05826,32813
05828,24022
05830,22024
05832,50313
05836,37647
05837,17237
05839,23500
05840,14167
05841,34286
05842,45938
05843,35844
05845,27917
05846,26625
05847,24271
05851,29808
05855,29323
05857,35625
05858,22813
05859,36607
05860,36848
05862,13611
05866,35125
05867,25417
05871,21413
05872,24615
05873,44333
05874,27083
05875,38333
05902,18409
05904,30521
05905,44250
05906,25481
05907,36000
06001,47115
06002,51125
06010,42874
06013,75139
06016,83722
06018,19497
06019,53190
06021,67143
06026,43029
06027,67083
06029,66341
06031,49766
06032,47839
06033,60677
06035,44531
06037,51463
06039,69022
06040,46755
06042,65814
06043,57917
06051,31695
06052,40521
06053,43873
06057,59199
06058,47969
06060,45625
06062,45859
06063,50391
06065,116250
06066,45202
06067,62681
06068,52760
06069,62813
06070,54699
06071,43077
06073,69464
06074,55331
06076,44092
06078,65092
06081,55556
06082,52062
06084,34167
06085,37238
06088,59167
06089,80000
06093,66063
06095,56393
06096,47083
06098,47536
06103,74375
06105,28217
06106,22712
06107,78050
06108,32324
06109,51755
06110,34334
06111,70413
06112,20881
06114,27162
06117,58476
06118,34832
06119,60795
06120,16555
06226,25436
06231,100481
06232,68750
06234,28837
06235,42500
06237,94559
06238,52432
06239,33228
06241,36050
06242,41406
06247,59821
06248,48958
06249,54746
06250,18173
06254,36250
06255,48950
06256,47051
06259,52813
06260,28634
06262,41096
06266,62708
06268,22561
06278,43958
06279,41123
06280,51345
06281,36447
06282,59821
06320,42185
06330,71116
06331,62635
06332,35714
06333,50125
06334,77750
06335,53255
06338,76250
06339,53449
06340,62355
06350,37917
06351,47594
06354,43672
06355,70813
06357,52900
06359,38975
06360,35792
06365,52500
06370,51591
06371,49747
06373,127688
06374,42631
06375,76146
06378,65000
06379,43361
06380,35286
06382,47614
06384,61250
06385,47511
06387,93566
06401,36107
06403,48233
06405,52455
06409,76200
06410,58224
06412,47193
06413,43088
06415,47344
06416,63017
06417,54615
06418,38097
06419,42267
06420,68433
06422,50982
06423,73594
06424,48854
06426,50458
06437,62598
06438,102083
06441,72734
06442,80613
06443,56854
06447,54805
06450,45346
06451,40330
06455,76000
06456,75991
06457,44369
06460,55852
06461,59554
06467,73177
06468,62037
06469,43229
06470,57129
06471,38269
06472,79583
06473,58305
06475,60898
06477,56495
06478,73832
06479,65380
06480,52841
06482,51591
06483,42422
06484,52655
06488,44569
06489,53764
06492,51292
06498,40361
06510,50956
06511,37253
06512,49054
06513,28875
06514,55158
06515,42262
06516,39733
06517,37188
06518,52978
06519,21010
06524,64306
06525,97969
06604,23602
06605,44846
06606,41776
06607,25645
06608,18188
06610,31134
06611,51054
06612,69926
06614,50694
06615,53528
06702,11370
06704,35274
06705,33481
06706,36732
06708,42135
06710,21997
06712,46349
06716,50789
06750,26685
06751,37411
06752,91953
06754,37500
06756,64861
06757,57230
06759,52750
06762,54081
06763,53344
06770,48366
06776,57983
06778,41176
06779,38112
06782,33375
06783,82188
06785,70714
06786,42274
06787,39918
06790,39311
06791,71111
06793,116250
06794,46053
06795,52782
06796,73462
06798,62636
06801,48843
06804,63608
06807,80320
06810,47510
06811,65208
06812,56319
06820,57434
06824,66023
06825,55194
06830,78571
06831,69238
06840,89224
06850,79511
06851,62181
06853,64306
06854,70229
06855,43575
06870,83364
06877,70677
06880,79583
06883,106161
06890,138984
06896,72564
06897,53646
06901,65784
06902,70661
06903,90750
06905,82344
06906,63669
06907,41629
07001,34596
07002,46170
07003,59786
07004,66250
07005,55306
07006,62392
07008,50096
07009,62232
07010,56890
07011,27328
07012,57500
07013,50531
07014,86477
07016,58977
07017,42993
07018,41987
07020,107636
07021,84063
07022,28425
07023,71552
07024,63482
07026,45432
07027,61204
07028,64000
07029,57156
07030,130625
07031,64491
07032,55441
07033,70446
07034,58691
07035,69792
07036,48955
07039,79119
07040,64871
07041,71144
07042,80547
07043,88036
07044,59448
07045,62344
07047,41875
07050,30751
07052,47939
07054,66144
07055,26995
07057,65313
07059,68864
07060,36401
07062,56215
07063,53068
07064,72692
07065,51038
07066,69875
07067,57552
07068,83333
07070,64500
07071,55294
07072,54743
07073,54973
07074,33333
07075,61500
07076,62995
07077,61512
07078,169306
07079,52803
07080,58899
07081,56000
07082,51390
07083,62237
07086,88731
07087,32886
07088,28564
07090,63663
07092,57105
07093,52692
07094,70915
07095,57500
07102,19471
07103,17587
07104,29306
07105,37439
07106,30724
07107,21302
07108,22226
07109,50987
07110,68070
07111,34518
07112,31119
07114,12517
07201,29903
07202,35195
07203,42893
07204,59354
07205,40221
07206,28794
07208,38408
07302,116731
07304,39976
07305,46349
07306,54012
07307,50990
07310,128769
07311,159629
07401,18355
07403,71688
07405,69796
07407,48571
07410,68472
07416,47794
07417,51563
07418,178423
07419,48750
07420,65592
07421,92984
07422,64046
07423,128472
07424,67924
07430,66964
07432,66364
07435,57333
07436,74688
07438,42557
07439,56250
07440,31771
07442,93250
07444,54770
07446,79369
07450,111346
07452,62857
07456,76528
07457,75294
07458,84825
07460,82683
07461,49044
07462,65543
07463,82880
07465,85471
07470,65469
07480,55115
07481,68545
07501,17480
07502,31711
07503,38911
07504,38958
07505,11130
07506,60338
07508,37965
07512,53839
07513,40601
07514,43510
07522,30057
07524,22500
07601,52876
07603,59254
07604,51371
07605,45100
07606,45469
07607,46417
07621,61618
07624,51625
07626,51563
07627,71932
